"timestep","value"
"2017-4-10",5.07
"2017-4-11",3.77
"2017-4-12",4.76
"2017-4-13",4.66
"2017-4-14",4.66
"2017-4-15",5.31
"2017-4-16",5.36
"2017-4-17",5.02
"2017-4-18",5.06
"2017-4-19",5.1
"2017-4-20",5.1
"2017-4-21",5.45
"2017-4-22",4.86
"2017-4-23",5.11
"2017-4-24",5.25
"2017-4-25",5.34
"2017-4-26",4.74
"2017-4-27",4.97
"2017-4-28",5.22
"2017-4-29",5.05
"2017-4-30",5
